ECLI,jaartal_delict,jaartal_uitspraak,regionale_eenheid,veroordeling,tenlastelegging,modus_operandi,geslacht_dader,geslacht_slachtoffer,strafmaat,moord_of_doodslag,verweer_verdediging,bewijstypen,aanleiding,gedraging,gevolg
ECLI:NL:HR:2019:8408,2012,2021,Noord-Nederland,Poging tot moord,Moord,Vuurwapen,Vrouw,Vrouw,8,Doodslag,Noodweer,Getuigenverklaring,Psychose,Verstikking,Dood direct
ECLI:NL:GHARL:2021:5444,2010,2021,Noord-Nederland,Moord,Moord,Vergif,Man,Man,15,Doodslag,Ontkenning,Getuigenverklaring,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:RBDHA:2019:9183,2016,2013,Amsterdam,Moord,Moord,Vuurwapen,Man,Vrouw,15,Doodslag,Ontkenning,Forensisch bewijs,Ruzie,Schietpartij,Geen letsel
ECLI:NL:PHR:2018:6988,2017,2016,Noord-Nederland,Poging tot moord,Poging tot moord,Vuurwapen,Man,Vrouw,10,Doodslag,Geen verweer,Bekentenis,Wraak,Verstikking,Zwaar gewond
ECLI:NL:RBDHA:2017:9424,2018,2016,Oost-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,15,Moord,Noodweer,Observatie,Relatieproblemen,Slag met voorwerp,Zwaar gewond
ECLI:NL:GHARL:2021:9077,2021,2018,Oost-Nederland,Vrijspraak,Moord,Anders,Man,Man,15,Moord,Noodweer,Observatie,Wraak,Verstikking,Dood direct
ECLI:NL:HR:2019:4800,2018,2020,Amsterdam,Doodslag,Poging tot moord,Wurging,Man,Vrouw,20,Doodslag,Ontkenning,Forensisch bewijs,Wraak,Vergiftiging,Geen letsel
ECLI:NL:PHR:2021:9602,2013,2015,Amsterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,10,Moord,Noodweer,Observatie,Ruzie,Verstikking,Geen letsel
ECLI:NL:GHARL:2022:7338,2011,2022,Rotterdam,Doodslag,Moord,Wurging,Man,Man,8,Doodslag,Ontkenning,Getuigenverklaring,Financieel,Steekpartij,Dood later
ECLI:NL:RBDHA:2018:8475,2017,2012,Noord-Nederland,Vrijspraak,Moord,Wurging,Man,Vrouw,15,Doodslag,Noodweer,Forensisch bewijs,Psychose,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2017:1489,2011,2016,Noord-Nederland,Vrijspraak,Poging tot moord,Wurging,Man,Man,8,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:GHARL:2023:5591,2022,2024,Oost-Nederland,Vrijspraak,Doodslag,Vuurwapen,Man,Man,20,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Vergiftiging,Dood direct
ECLI:NL:HR:2018:5185,2022,2016,Midden-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,12,Moord,Ontkenning,Forensisch bewijs,Financieel,Verstikking,Dood later
ECLI:NL:PHR:2018:2514,2012,2013,Oost-Nederland,Moord,Moord,Vuurwapen,Vrouw,Vrouw,12,Moord,Geen verweer,Getuigenverklaring,Psychose,Steekpartij,Dood direct
ECLI:NL:HR:2015:4111,2011,2012,Oost-Nederland,Doodslag,Moord,Vuurwapen,Vrouw,Vrouw,10,Moord,Noodweer,Observatie,Ruzie,Verstikking,Dood later
ECLI:NL:RBDHA:2016:7561,2010,2017,Oost-Nederland,Doodslag,Moord,Vergif,Vrouw,Vrouw,12,Doodslag,Geen verweer,Forensisch bewijs,Wraak,Schietpartij,Dood direct
ECLI:NL:RBDHA:2018:6391,2010,2017,Midden-Nederland,Moord,Poging tot moord,Vuurwapen,Vrouw,Vrouw,15,Moord,Ontkenning,Observatie,Relatieproblemen,Verstikking,Zwaar gewond
ECLI:NL:RBDHA:2021:4097,2022,2018,Amsterdam,Doodslag,Poging tot moord,Wurging,Vrouw,Man,8,Doodslag,Ontkenning,Observatie,Ruzie,Steekpartij,Geen letsel
ECLI:NL:PHR:2015:1846,2013,2015,Oost-Nederland,Poging tot moord,Poging tot moord,Wurging,Man,Vrouw,10,Doodslag,Geen verweer,Observatie,Ruzie,Slag met voorwerp,Dood later
ECLI:NL:RBDHA:2018:2981,2012,2024,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Man,10,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:RBDHA:2015:9232,2013,2017,Oost-Nederland,Doodslag,Moord,Mes,Man,Vrouw,8,Moord,Noodweer,Bekentenis,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2016:7578,2016,2022,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Man,20,Doodslag,Geen verweer,Forensisch bewijs,Financieel,Schietpartij,Dood direct
ECLI:NL:PHR:2022:8802,2015,2024,Amsterdam,Vrijspraak,Moord,Vuurwapen,Man,Man,8,Moord,Noodweer,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:GHARL:2022:8370,2020,2018,Midden-Nederland,Vrijspraak,Doodslag,Anders,Man,Man,10,Moord,Noodweer,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:RBDHA:2023:7405,2020,2023,Rotterdam,Poging tot moord,Moord,Vergif,Vrouw,Man,15,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Vergiftiging,Dood later
ECLI:NL:PHR:2022:7473,2020,2017,Rotterdam,Doodslag,Poging tot moord,Wurging,Man,Man,20,Moord,Ontkenning,Bekentenis,Ruzie,Slag met voorwerp,Geen letsel
ECLI:NL:GHARL:2018:4643,2011,2021,Noord-Nederland,Moord,Poging tot moord,Wurging,Man,Man,20,Moord,Ontkenning,Observatie,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2018:4599,2019,2023,Rotterdam,Doodslag,Poging tot moord,Vergif,Man,Man,8,Moord,Noodweer,Getuigenverklaring,Wraak,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2016:4781,2019,2013,Midden-Nederland,Doodslag,Doodslag,Wurging,Man,Man,8,Moord,Geen verweer,Bekentenis,Ruzie,Schietpartij,Zwaar gewond
ECLI:NL:PHR:2019:5602,2014,2012,Midden-Nederland,Moord,Moord,Vuurwapen,Man,Vrouw,10,Moord,Ontkenning,Getuigenverklaring,Relatieproblemen,Verstikking,Zwaar gewond
ECLI:NL:GHARL:2023:1420,2011,2013,Rotterdam,Poging tot moord,Doodslag,Wurging,Man,Vrouw,8,Doodslag,Geen verweer,Observatie,Psychose,Schietpartij,Dood later
ECLI:NL:PHR:2017:3888,2010,2022,Amsterdam,Vrijspraak,Poging tot moord,Wurging,Vrouw,Man,8,Moord,Ontkenning,Forensisch bewijs,Relatieproblemen,Verstikking,Dood later
ECLI:NL:RBDHA:2017:3605,2011,2022,Oost-Nederland,Doodslag,Moord,Vuurwapen,Man,Man,8,Moord,Noodweer,Forensisch bewijs,Psychose,Vergiftiging,Dood direct
ECLI:NL:HR:2021:6778,2013,2011,Noord-Nederland,Vrijspraak,Doodslag,Mes,Man,Vrouw,10,Doodslag,Geen verweer,Getuigenverklaring,Ruzie,Steekpartij,Zwaar gewond
ECLI:NL:GHARL:2023:7733,2020,2024,Midden-Nederland,Moord,Moord,Vuurwapen,Man,Vrouw,15,Moord,Ontkenning,Bekentenis,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2015:3488,2017,2013,Amsterdam,Vrijspraak,Doodslag,Mes,Man,Vrouw,10,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Steekpartij,Dood direct
ECLI:NL:RBDHA:2021:9669,2022,2012,Oost-Nederland,Vrijspraak,Moord,Wurging,Man,Vrouw,12,Doodslag,Noodweer,Observatie,Wraak,Steekpartij,Dood direct
ECLI:NL:HR:2021:7914,2012,2017,Rotterdam,Poging tot moord,Moord,Vuurwapen,Man,Man,8,Moord,Noodweer,Bekentenis,Ruzie,Vergiftiging,Dood later
ECLI:NL:HR:2020:4992,2011,2020,Rotterdam,Doodslag,Moord,Mes,Man,Man,12,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Steekpartij,Geen letsel
ECLI:NL:RBDHA:2021:8918,2022,2018,Oost-Nederland,Moord,Moord,Vuurwapen,Man,Man,12,Doodslag,Ontkenning,Forensisch bewijs,Psychose,Steekpartij,Dood later
ECLI:NL:PHR:2022:3695,2015,2023,Oost-Nederland,Vrijspraak,Poging tot moord,Mes,Man,Vrouw,20,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:GHARL:2021:8056,2011,2020,Oost-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,10,Doodslag,Geen verweer,Observatie,Wraak,Slag met voorwerp,Geen letsel
ECLI:NL:HR:2021:5607,2010,2021,Oost-Nederland,Vrijspraak,Poging tot moord,Vergif,Man,Vrouw,12,Moord,Noodweer,Observatie,Financieel,Verstikking,Dood later
ECLI:NL:RBDHA:2017:7757,2017,2018,Oost-Nederland,Doodslag,Moord,Mes,Man,Man,10,Doodslag,Geen verweer,Forensisch bewijs,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:PHR:2023:541,2010,2013,Oost-Nederland,Moord,Moord,Anders,Vrouw,Man,20,Moord,Ontkenning,Forensisch bewijs,Psychose,Schietpartij,Zwaar gewond
ECLI:NL:RBDHA:2015:1475,2012,2020,Midden-Nederland,Poging tot moord,Doodslag,Mes,Vrouw,Man,15,Doodslag,Geen verweer,Observatie,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:RBDHA:2017:7664,2019,2017,Noord-Nederland,Doodslag,Poging tot moord,Mes,Man,Man,15,Moord,Noodweer,Observatie,Financieel,Steekpartij,Dood direct
ECLI:NL:PHR:2015:4362,2016,2023,Amsterdam,Doodslag,Doodslag,Wurging,Man,Man,8,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Slag met voorwerp,Dood later
ECLI:NL:RBDHA:2020:3567,2021,2016,Amsterdam,Moord,Doodslag,Mes,Man,Vrouw,8,Moord,Geen verweer,Getuigenverklaring,Ruzie,Steekpartij,Dood later
ECLI:NL:RBDHA:2020:5629,2016,2020,Rotterdam,Doodslag,Doodslag,Wurging,Man,Man,8,Doodslag,Noodweer,Observatie,Relatieproblemen,Steekpartij,Geen letsel
ECLI:NL:RBDHA:2019:7006,2017,2011,Rotterdam,Moord,Poging tot moord,Vergif,Vrouw,Man,12,Doodslag,Geen verweer,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:GHARL:2016:7805,2010,2024,Noord-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,20,Moord,Geen verweer,Getuigenverklaring,Ruzie,Schietpartij,Dood later
ECLI:NL:HR:2023:953,2016,2021,Oost-Nederland,Doodslag,Doodslag,Vergif,Man,Man,10,Doodslag,Geen verweer,Bekentenis,Ruzie,Vergiftiging,Dood direct
ECLI:NL:GHARL:2018:1224,2020,2024,Oost-Nederland,Doodslag,Doodslag,Wurging,Man,Vrouw,15,Doodslag,Ontkenning,Forensisch bewijs,Psychose,Steekpartij,Dood direct
ECLI:NL:HR:2015:4151,2016,2022,Amsterdam,Doodslag,Moord,Vuurwapen,Man,Man,12,Doodslag,Noodweer,Observatie,Ruzie,Steekpartij,Dood later
ECLI:NL:PHR:2015:2596,2012,2013,Midden-Nederland,Doodslag,Moord,Mes,Man,Man,10,Doodslag,Geen verweer,Forensisch bewijs,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:PHR:2017:7858,2015,2018,Midden-Nederland,Vrijspraak,Moord,Vergif,Man,Man,15,Moord,Noodweer,Getuigenverklaring,Relatieproblemen,Slag met voorwerp,Zwaar gewond
ECLI:NL:HR:2018:7719,2013,2018,Amsterdam,Doodslag,Poging tot moord,Mes,Vrouw,Man,12,Doodslag,Noodweer,Forensisch bewijs,Ruzie,Schietpartij,Dood direct
ECLI:NL:GHARL:2020:2849,2012,2012,Midden-Nederland,Moord,Moord,Vuurwapen,Vrouw,Vrouw,12,Moord,Ontkenning,Forensisch bewijs,Wraak,Slag met voorwerp,Dood later
ECLI:NL:HR:2017:5196,2014,2017,Amsterdam,Moord,Moord,Vuurwapen,Man,Vrouw,20,Doodslag,Ontkenning,Observatie,Psychose,Verstikking,Dood direct
ECLI:NL:HR:2015:5211,2014,2018,Rotterdam,Doodslag,Moord,Vergif,Man,Vrouw,12,Moord,Geen verweer,Bekentenis,Financieel,Steekpartij,Dood later
ECLI:NL:RBDHA:2021:3349,2017,2011,Oost-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,10,Moord,Ontkenning,Bekentenis,Wraak,Verstikking,Zwaar gewond
ECLI:NL:HR:2018:1769,2012,2012,Midden-Nederland,Moord,Poging tot moord,Mes,Man,Vrouw,20,Doodslag,Geen verweer,Observatie,Ruzie,Verstikking,Zwaar gewond
ECLI:NL:GHARL:2016:9372,2010,2015,Rotterdam,Moord,Doodslag,Mes,Man,Man,12,Moord,Noodweer,Bekentenis,Ruzie,Slag met voorwerp,Dood later
ECLI:NL:HR:2020:8828,2019,2021,Amsterdam,Moord,Moord,Mes,Man,Man,12,Moord,Ontkenning,Observatie,Ruzie,Verstikking,Dood direct
ECLI:NL:RBDHA:2020:1229,2019,2016,Amsterdam,Moord,Moord,Mes,Man,Man,20,Doodslag,Noodweer,Bekentenis,Wraak,Verstikking,Dood direct
ECLI:NL:GHARL:2015:6982,2019,2011,Oost-Nederland,Doodslag,Moord,Mes,Man,Man,20,Moord,Geen verweer,Getuigenverklaring,Relatieproblemen,Slag met voorwerp,Geen letsel
ECLI:NL:RBDHA:2016:7202,2013,2022,Oost-Nederland,Doodslag,Moord,Mes,Man,Vrouw,8,Moord,Geen verweer,Bekentenis,Financieel,Vergiftiging,Zwaar gewond
ECLI:NL:GHARL:2022:2606,2020,2024,Amsterdam,Moord,Doodslag,Mes,Vrouw,Vrouw,8,Doodslag,Geen verweer,Bekentenis,Psychose,Slag met voorwerp,Dood later
ECLI:NL:RBDHA:2017:8648,2014,2021,Midden-Nederland,Doodslag,Moord,Vuurwapen,Man,Man,12,Moord,Geen verweer,Getuigenverklaring,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:GHARL:2023:8021,2017,2019,Midden-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,15,Doodslag,Noodweer,Observatie,Financieel,Schietpartij,Dood direct
ECLI:NL:RBDHA:2021:9807,2016,2023,Midden-Nederland,Moord,Doodslag,Mes,Man,Man,20,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Slag met voorwerp,Zwaar gewond
ECLI:NL:GHARL:2020:4122,2018,2022,Midden-Nederland,Vrijspraak,Doodslag,Wurging,Man,Vrouw,15,Doodslag,Ontkenning,Observatie,Psychose,Steekpartij,Dood direct
ECLI:NL:HR:2019:7485,2017,2020,Midden-Nederland,Moord,Moord,Vuurwapen,Man,Man,12,Moord,Ontkenning,Forensisch bewijs,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:PHR:2022:9436,2010,2022,Rotterdam,Moord,Poging tot moord,Mes,Man,Vrouw,8,Doodslag,Noodweer,Observatie,Ruzie,Verstikking,Dood later
ECLI:NL:RBDHA:2020:570,2011,2020,Noord-Nederland,Moord,Moord,Mes,Vrouw,Man,10,Moord,Geen verweer,Getuigenverklaring,Financieel,Vergiftiging,Dood later
ECLI:NL:RBDHA:2020:3079,2014,2014,Midden-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,10,Doodslag,Noodweer,Forensisch bewijs,Wraak,Slag met voorwerp,Dood later
ECLI:NL:RBDHA:2018:5913,2016,2021,Rotterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Man,20,Moord,Geen verweer,Getuigenverklaring,Financieel,Vergiftiging,Zwaar gewond
ECLI:NL:GHARL:2020:4681,2012,2024,Noord-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,10,Doodslag,Noodweer,Getuigenverklaring,Psychose,Schietpartij,Dood later
ECLI:NL:GHARL:2023:266,2016,2016,Noord-Nederland,Moord,Poging tot moord,Vuurwapen,Vrouw,Man,12,Moord,Geen verweer,Bekentenis,Ruzie,Schietpartij,Dood later
ECLI:NL:PHR:2016:4054,2013,2019,Midden-Nederland,Doodslag,Moord,Vuurwapen,Vrouw,Man,20,Doodslag,Noodweer,Observatie,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:RBDHA:2022:9196,2020,2019,Rotterdam,Doodslag,Poging tot moord,Vergif,Man,Vrouw,10,Moord,Geen verweer,Getuigenverklaring,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2022:8141,2022,2022,Rotterdam,Moord,Doodslag,Mes,Man,Man,8,Moord,Geen verweer,Forensisch bewijs,Wraak,Vergiftiging,Zwaar gewond
ECLI:NL:RBDHA:2015:1624,2018,2022,Rotterdam,Moord,Moord,Mes,Man,Vrouw,12,Doodslag,Noodweer,Observatie,Ruzie,Verstikking,Geen letsel
ECLI:NL:GHARL:2018:6725,2013,2020,Oost-Nederland,Doodslag,Doodslag,Wurging,Man,Man,10,Doodslag,Ontkenning,Getuigenverklaring,Financieel,Verstikking,Zwaar gewond
ECLI:NL:PHR:2019:9628,2020,2012,Oost-Nederland,Moord,Doodslag,Vuurwapen,Man,Vrouw,8,Doodslag,Ontkenning,Bekentenis,Financieel,Schietpartij,Dood later
ECLI:NL:GHARL:2022:9168,2022,2017,Oost-Nederland,Doodslag,Moord,Vuurwapen,Vrouw,Man,10,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:GHARL:2021:9117,2018,2021,Rotterdam,Doodslag,Moord,Wurging,Man,Man,15,Moord,Noodweer,Bekentenis,Psychose,Vergiftiging,Dood direct
ECLI:NL:GHARL:2020:7534,2022,2022,Midden-Nederland,Vrijspraak,Doodslag,Vuurwapen,Man,Vrouw,15,Doodslag,Noodweer,Observatie,Ruzie,Steekpartij,Dood later
ECLI:NL:GHARL:2019:4218,2010,2014,Noord-Nederland,Doodslag,Doodslag,Mes,Man,Man,8,Moord,Ontkenning,Getuigenverklaring,Ruzie,Steekpartij,Dood direct
ECLI:NL:PHR:2016:3255,2016,2018,Oost-Nederland,Doodslag,Moord,Mes,Man,Man,8,Moord,Noodweer,Forensisch bewijs,Financieel,Schietpartij,Dood later
ECLI:NL:GHARL:2016:8879,2022,2016,Amsterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,15,Moord,Ontkenning,Forensisch bewijs,Ruzie,Vergiftiging,Dood direct
ECLI:NL:PHR:2018:3645,2021,2021,Midden-Nederland,Vrijspraak,Poging tot moord,Vuurwapen,Man,Vrouw,8,Doodslag,Ontkenning,Bekentenis,Financieel,Steekpartij,Dood direct
ECLI:NL:RBDHA:2019:9759,2015,2021,Rotterdam,Vrijspraak,Moord,Vuurwapen,Man,Man,12,Moord,Ontkenning,Forensisch bewijs,Financieel,Slag met voorwerp,Dood direct
ECLI:NL:GHARL:2016:3280,2017,2021,Oost-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,12,Doodslag,Noodweer,Getuigenverklaring,Ruzie,Verstikking,Zwaar gewond
ECLI:NL:GHARL:2018:6012,2018,2017,Midden-Nederland,Doodslag,Doodslag,Mes,Man,Vrouw,20,Doodslag,Noodweer,Getuigenverklaring,Financieel,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2019:331,2022,2013,Oost-Nederland,Poging tot moord,Doodslag,Vergif,Man,Vrouw,15,Doodslag,Geen verweer,Observatie,Financieel,Verstikking,Dood later
ECLI:NL:PHR:2019:845,2017,2024,Oost-Nederland,Vrijspraak,Poging tot moord,Mes,Man,Vrouw,12,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Steekpartij,Dood direct
ECLI:NL:HR:2023:4886,2015,2024,Noord-Nederland,Doodslag,Moord,Anders,Vrouw,Man,8,Doodslag,Noodweer,Observatie,Psychose,Schietpartij,Dood direct
ECLI:NL:PHR:2022:1780,2019,2019,Midden-Nederland,Moord,Poging tot moord,Wurging,Man,Man,8,Doodslag,Geen verweer,Bekentenis,Financieel,Verstikking,Zwaar gewond
ECLI:NL:HR:2019:7790,2018,2020,Oost-Nederland,Vrijspraak,Poging tot moord,Mes,Man,Man,12,Doodslag,Geen verweer,Forensisch bewijs,Financieel,Slag met voorwerp,Dood direct
ECLI:NL:RBDHA:2022:5682,2015,2011,Midden-Nederland,Poging tot moord,Moord,Vuurwapen,Man,Man,20,Doodslag,Ontkenning,Forensisch bewijs,Psychose,Vergiftiging,Zwaar gewond
ECLI:NL:PHR:2015:4236,2016,2011,Rotterdam,Doodslag,Poging tot moord,Wurging,Man,Vrouw,15,Doodslag,Noodweer,Bekentenis,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:RBDHA:2016:1170,2014,2021,Amsterdam,Doodslag,Doodslag,Vuurwapen,Man,Man,15,Moord,Geen verweer,Bekentenis,Relatieproblemen,Schietpartij,Dood later
ECLI:NL:RBDHA:2022:1313,2012,2013,Midden-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,8,Doodslag,Ontkenning,Bekentenis,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:HR:2017:2544,2010,2019,Amsterdam,Vrijspraak,Poging tot moord,Mes,Man,Man,15,Doodslag,Geen verweer,Bekentenis,Financieel,Verstikking,Dood later
ECLI:NL:GHARL:2016:4166,2015,2024,Midden-Nederland,Doodslag,Doodslag,Wurging,Man,Man,15,Doodslag,Noodweer,Forensisch bewijs,Relatieproblemen,Verstikking,Dood later
ECLI:NL:HR:2023:6918,2019,2018,Noord-Nederland,Moord,Doodslag,Mes,Man,Man,15,Doodslag,Ontkenning,Forensisch bewijs,Psychose,Verstikking,Dood direct
ECLI:NL:PHR:2023:6332,2013,2024,Midden-Nederland,Moord,Doodslag,Anders,Man,Man,8,Doodslag,Ontkenning,Observatie,Ruzie,Slag met voorwerp,Dood later
ECLI:NL:RBDHA:2022:4971,2010,2018,Rotterdam,Vrijspraak,Doodslag,Vuurwapen,Vrouw,Vrouw,10,Moord,Geen verweer,Getuigenverklaring,Wraak,Verstikking,Dood later
ECLI:NL:RBDHA:2019:9416,2022,2024,Oost-Nederland,Doodslag,Doodslag,Anders,Man,Man,10,Doodslag,Ontkenning,Forensisch bewijs,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:HR:2016:3504,2022,2013,Noord-Nederland,Poging tot moord,Doodslag,Wurging,Vrouw,Man,15,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2019:1430,2014,2012,Midden-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,10,Moord,Geen verweer,Bekentenis,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2018:2947,2010,2023,Oost-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,15,Moord,Noodweer,Observatie,Ruzie,Vergiftiging,Dood direct
ECLI:NL:HR:2017:143,2022,2018,Oost-Nederland,Doodslag,Moord,Anders,Man,Man,20,Doodslag,Noodweer,Getuigenverklaring,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:RBDHA:2022:9829,2017,2016,Oost-Nederland,Vrijspraak,Moord,Vuurwapen,Man,Vrouw,8,Doodslag,Geen verweer,Bekentenis,Ruzie,Vergiftiging,Dood later
ECLI:NL:RBDHA:2019:634,2018,2014,Rotterdam,Vrijspraak,Doodslag,Mes,Man,Man,12,Moord,Ontkenning,Getuigenverklaring,Financieel,Vergiftiging,Zwaar gewond
ECLI:NL:PHR:2019:4732,2015,2016,Oost-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,8,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2016:3924,2022,2015,Oost-Nederland,Moord,Moord,Vergif,Vrouw,Man,20,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Vergiftiging,Dood later
ECLI:NL:GHARL:2018:7065,2019,2011,Midden-Nederland,Doodslag,Moord,Mes,Man,Man,12,Doodslag,Geen verweer,Getuigenverklaring,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:HR:2023:3783,2013,2019,Noord-Nederland,Doodslag,Moord,Anders,Man,Man,8,Moord,Ontkenning,Bekentenis,Ruzie,Slag met voorwerp,Geen letsel
ECLI:NL:PHR:2019:2430,2012,2014,Noord-Nederland,Doodslag,Moord,Mes,Man,Vrouw,20,Moord,Geen verweer,Observatie,Ruzie,Steekpartij,Dood later
ECLI:NL:HR:2015:2818,2011,2019,Rotterdam,Moord,Poging tot moord,Anders,Man,Vrouw,12,Moord,Geen verweer,Getuigenverklaring,Psychose,Verstikking,Dood direct
ECLI:NL:GHARL:2019:7295,2013,2021,Noord-Nederland,Vrijspraak,Poging tot moord,Vuurwapen,Man,Man,12,Doodslag,Ontkenning,Observatie,Financieel,Steekpartij,Dood later
ECLI:NL:HR:2022:5082,2020,2017,Rotterdam,Doodslag,Doodslag,Vuurwapen,Man,Man,20,Moord,Ontkenning,Observatie,Financieel,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2019:8299,2013,2017,Oost-Nederland,Moord,Poging tot moord,Vergif,Man,Vrouw,10,Moord,Geen verweer,Forensisch bewijs,Financieel,Verstikking,Zwaar gewond
ECLI:NL:RBDHA:2022:1417,2014,2024,Rotterdam,Moord,Moord,Vuurwapen,Vrouw,Man,8,Moord,Noodweer,Forensisch bewijs,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:HR:2021:5380,2018,2014,Rotterdam,Vrijspraak,Doodslag,Vuurwapen,Man,Vrouw,12,Moord,Geen verweer,Observatie,Ruzie,Verstikking,Dood later
ECLI:NL:GHARL:2015:1596,2022,2012,Rotterdam,Vrijspraak,Moord,Wurging,Man,Man,20,Moord,Noodweer,Forensisch bewijs,Financieel,Steekpartij,Dood later
ECLI:NL:PHR:2015:4515,2021,2018,Midden-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,15,Moord,Noodweer,Bekentenis,Wraak,Verstikking,Zwaar gewond
ECLI:NL:HR:2017:7808,2010,2018,Midden-Nederland,Doodslag,Poging tot moord,Vuurwapen,Vrouw,Vrouw,15,Doodslag,Ontkenning,Bekentenis,Financieel,Schietpartij,Dood later
ECLI:NL:RBDHA:2019:3073,2022,2023,Midden-Nederland,Vrijspraak,Poging tot moord,Mes,Man,Vrouw,8,Doodslag,Ontkenning,Bekentenis,Financieel,Vergiftiging,Dood later
ECLI:NL:RBDHA:2022:1594,2013,2020,Rotterdam,Doodslag,Poging tot moord,Wurging,Man,Man,8,Moord,Geen verweer,Forensisch bewijs,Wraak,Slag met voorwerp,Dood direct
ECLI:NL:RBDHA:2020:6790,2019,2018,Midden-Nederland,Doodslag,Moord,Vuurwapen,Vrouw,Man,20,Doodslag,Geen verweer,Getuigenverklaring,Ruzie,Verstikking,Geen letsel
ECLI:NL:GHARL:2020:1813,2022,2012,Midden-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,15,Moord,Noodweer,Observatie,Relatieproblemen,Vergiftiging,Dood later
ECLI:NL:PHR:2020:6844,2016,2024,Amsterdam,Doodslag,Doodslag,Vuurwapen,Man,Man,12,Doodslag,Noodweer,Observatie,Ruzie,Slag met voorwerp,Dood later
ECLI:NL:RBDHA:2019:6661,2015,2018,Oost-Nederland,Doodslag,Moord,Mes,Man,Man,20,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:HR:2022:1542,2012,2018,Rotterdam,Poging tot moord,Doodslag,Mes,Vrouw,Vrouw,15,Doodslag,Noodweer,Getuigenverklaring,Ruzie,Slag met voorwerp,Dood direct
